CustomerKey	MDAY_VISIT_L36M	FDAY_VISIT_L36M	BF_VISIT_L36M	VDAY_VISIT_L36M	BTS_VISIT_L36M	NY_VISIT_L36M
45062	1	0	0	0	0	0
136795	0	0	0	0	0	1
2149185	0	0	0	0	0	1
1004433	0	1	0	0	0	0
1037732	0	1	2	0	0	1
379780	1	0	1	1	1	1
884482	0	1	0	0	0	1
34746	0	0	0	1	2	2
1403064	0	0	0	0	0	1
2052311	0	0	0	1	0	0
863234	0	1	0	0	0	0
382176	0	0	1	0	0	0
2022925	0	0	2	0	1	2
177064	1	1	1	0	1	3
23814	1	0	0	0	1	0
2142215	0	1	0	0	0	0
997463	0	0	0	0	1	0
2123194	0	0	0	0	1	0
968077	0	0	0	1	0	0
1059641	0	0	0	0	0	1
158043	0	0	0	0	0	1
934117	0	0	0	0	1	1
1016484	0	0	1	1	0	0
897194	1	0	0	0	0	1
376434	0	1	0	0	0	0
1068346	0	0	0	2	0	0
1025681	0	0	0	0	0	1
1050444	0	0	0	2	0	0
662745	0	0	0	0	0	1
124083	0	0	0	0	1	0
2170433	0	0	0	1	0	0
529684	0	0	0	0	1	0
715726	0	0	0	0	1	0
2233779	0	0	0	0	0	1
2086271	1	0	0	0	0	0
990493	2	1	0	1	0	3
1109276	0	0	0	0	0	2
54428	0	0	0	0	0	2
2135737	0	0	1	0	0	2
127429	0	0	0	0	1	0
1023623	0	1	0	0	0	1
2022527	0	2	1	0	0	0
178630	0	1	0	0	1	1
1165220	0	0	0	0	0	1
275767	0	0	0	0	1	0
26041	0	0	0	0	0	1
2198422	1	0	0	0	0	0
2220068	0	0	0	0	1	0
122686	0	0	1	0	0	0
926978	1	1	0	1	0	0
1233478	0	1	0	1	0	0
20468	0	0	0	0	0	1
264283	0	0	0	0	1	0
332541	0	1	1	0	0	0
922235	0	0	0	2	0	0
2078471	0	0	1	0	0	0
269026	1	1	0	0	1	2
212590	1	1	0	0	1	0
2130164	0	0	0	0	0	1
683993	0	0	1	0	0	0
1054068	0	0	1	0	0	0
806629	1	1	0	0	0	0
2198820	1	0	0	0	0	0
988927	0	1	0	0	0	0
33180	2	0	0	2	0	1
251571	0	1	1	0	1	0
1574828	0	2	0	0	0	0
2165690	0	0	0	1	0	0
2177174	1	1	0	0	0	0
1554977	0	0	0	0	0	1
554278	0	0	0	1	0	0
2211134	0	1	0	0	0	0
2212929	0	1	0	0	0	0
157382	0	1	0	0	0	0
1360568	0	0	0	0	0	1
2142876	0	0	0	0	0	1
486020	0	0	0	0	1	0
1306419	0	1	0	0	0	1
1011741	1	2	2	2	2	2
691132	0	0	0	0	0	1
386919	0	0	1	0	0	1
681935	0	2	1	0	0	2
1246190	0	0	1	0	0	1
1143972	0	2	0	1	0	1
418930	0	0	0	1	0	0
